index,millisecond,imageBound_x,imageBound_y,imageBound_width,imageBound_height,center_x,center_y,imagePoint_x,imagePoint_y,zoom,interval
555,154259,368,-28,544,317,640,131,394,279,1.86624,206
556,154471,368,-28,544,317,640,131,394,282,1.86624,212
557,154685,368,-28,544,317,640,131,396,282,1.86624,214
558,155052,368,-28,544,317,640,131,406,283,1.86624,367
559,156328,368,-28,544,317,640,131,773,133,1.86624,1276
560,156499,289,12,544,317,561,171,777,132,1.86624,171
561,156691,289,12,544,317,561,171,781,126,1.86624,192
562,156913,289,12,544,317,561,171,792,115,1.86624,222
563,157088,289,12,544,317,561,171,809,82,1.86624,175
564,157256,289,12,544,317,561,171,404,274,1.86624,168
565,157419,289,12,544,317,561,171,296,321,1.86624,163
566,157590,289,12,544,317,561,171,298,321,1.86624,171
567,157758,289,12,544,317,561,171,300,322,1.86624,168
568,157946,289,12,544,317,561,171,298,313,1.86624,188
569,158150,289,12,544,317,561,171,326,327,1.86624,204
570,158461,289,12,544,317,561,171,373,327,1.86624,311
571,158658,289,12,544,317,561,171,509,278,1.86624,197
572,158828,289,12,544,317,561,171,691,157,1.86624,170
573,159009,289,12,544,317,561,171,754,100,1.86624,181
574,159183,289,12,544,317,561,171,754,91,1.86624,174
575,159380,289,12,544,317,561,171,750,69,1.86624,197
576,159536,289,12,544,317,561,171,663,43,1.86624,156
577,159773,289,12,544,317,561,171,639,44,1.86624,237
578,159935,289,12,544,317,561,171,639,45,1.86624,162
579,160139,289,12,544,317,561,171,640,45,1.86624,204
580,160307,289,12,544,317,561,171,647,45,1.86624,168
581,160481,289,12,544,317,561,171,659,45,1.86624,174
582,160647,289,12,544,317,561,171,684,47,1.86624,166
583,160835,289,12,544,317,561,171,697,49,1.86624,188
584,161042,289,12,544,317,561,171,722,50,1.86624,207
585,161243,289,12,544,317,561,171,741,52,1.86624,201
586,161407,289,12,544,317,561,171,752,58,1.86624,164
587,161575,289,12,544,317,561,171,758,63,1.86624,168
588,161749,289,12,544,317,561,171,759,67,1.86624,174
589,161939,289,12,544,317,561,171,759,81,1.86624,190
590,162109,289,12,544,317,561,171,756,96,1.86624,170
591,162298,289,12,544,317,561,171,751,106,1.86624,189
592,162469,289,12,544,317,561,171,736,125,1.86624,171
593,162674,289,12,544,317,561,171,724,157,1.86624,205
594,162866,289,12,544,317,561,171,710,203,1.86624,192
595,163043,289,12,544,317,561,171,692,233,1.86624,177
596,163213,289,12,544,317,561,171,680,252,1.86624,170
597,163396,289,12,544,317,561,171,665,283,1.86624,183
598,163567,289,12,544,317,561,171,651,299,1.86624,171
599,163736,289,12,544,317,561,171,640,299,1.86624,169
600,163906,289,12,544,317,561,171,609,301,1.86624,170
601,164079,289,12,544,317,561,171,587,303,1.86624,173
